Lat,Lon
-68.7,-83.3
-68.6,-83.1
-68.6,-82.9
-68.5,-82.4
-68.5,-82.2
-68.5,-82
-68.4,-81.7
-68.4,-81.6
-68.4,-81.4
-68.5,-81.2
-68.5,-81.1
-68.5,-81
-68.5,-80.9
-68.4,-80.8
-68.3,-80.6
-68.3,-80.5
-68.3,-80.2
-68.4,-80.1
-68.4,-80
-68.4,-79.8
-68.4,-79.6
-68.4,-79.2
-68.3,-78.2
-68.3,-78
-68.4,-77.8
-68.3,-77.6
-68.3,-77.5
-68.3,-77.4
-68.2,-77.1
-68.2,-77
-68.2,-76.8
-68.2,-76.6
-68.2,-76.5
-68.3,-76.4
-68.3,-76.3
-68.3,-76.2
-68.3,-76.1
-68.3,-75.9
-68.3,-75.7
-68.4,-75.6
-68.4,-75.4
-68.4,-75.1
-68.4,-75
-68.4,-74.7
-68.4,-74.5
-68.4,-74.3
-68.6,-74.1
-68.6,-74
-68.6,-73.9
-68.6,-73.7
-68.6,-73.6
-68.6,-73.5
-68.6,-73.4
-68.5,-73.2
-68.5,-73
-68.5,-72.8
-68.5,-72.7
-68.5,-72.6
-68.4,-72.4
-68.3,-72.2
-68.2,-72
-68.1,-71.9
-68.1,-71.8
-67.9,-71.5
-67.8,-71.3
-67.8,-71.1
-67.8,-71
-67.7,-70.6
-67.7,-70.4
-67.7,-70.2
-67.7,-70.1
-67.7,-70
-67.7,-69.8
-67.7,-69.7
-67.8,-69.8
-67.9,-69.8
-68,-69.8
-68,-69.5
-68,-69.4
-67.9,-69.2
-67.8,-69.1
-67.7,-69.2
-67.7,-69.3
-67.6,-69.4
-67.4,-69.3
-67.3,-69.2
-67.2,-69.1
-67.1,-69.1
-67,-69
-67,-68.8
-66.9,-68.8
-66.8,-68.7
-66.7,-68.6
-66.6,-68.4
-66.6,-68.2
-66.5,-67.9
-66.5,-67.8
-66.5,-67.7
-66.5,-67.6
-66.4,-67.5
-66.4,-67.4
-66.3,-67.4
-66.3,-67.3
-66.2,-67.2
-66.2,-67.1
-66.2,-67
-66.2,-66.9
-66.1,-66.9
-66.1,-66.8
-66,-66.7
-66,-66.5
-65.9,-66.5
-65.8,-66.4
-65.8,-66.3
-65.8,-66.2
-65.7,-66.2
-65.6,-66.1
-65.6,-66
-65.6,-66
-65.6,-66
-65.6,-65.7
-65.6,-65.6
-65.5,-65.5
-65.5,-65.4
-65.5,-65.3
-65.4,-65.2
-65.3,-65.1
-65.2,-64.9
-65,-64.4
-64.9,-64.3
-64.8,-64.3
-64.7,-64.3
-64.7,-64.3
-64.7,-64.3
-68.7,-69.4
-68.6,-69.2
-68.5,-69.1
-68.4,-69.1
-68.4,-69
-68.3,-69
-68.3,-68.9
-68.2,-68.8
-68.1,-68.6
-68,-68.5
-67.9,-68.2
-67.9,-68
-68,-67.8
-68.1,-67.6
-68.3,-67.4
-68.4,-67.4
-68.5,-67.5
-68.6,-67.6
-68.7,-67.7
-68.7,-67.9
-68.7,-68.1
-68.8,-68.3
-68.8,-68.5
-68.8,-69
-68.8,-69.2
-68.8,-69.4
-68.7,-69.4
-68.7,-69.4
-67.7,-78.7
-67.7,-78.8
-67.8,-79
-67.8,-79.1
-67.7,-79.3
-67.7,-79.4
-67.6,-79.3
-67.5,-79.2
-67.5,-79
-67.5,-78.9
-67.6,-78.7
-67.7,-78.7
-67.7,-78.7
